Customer_ID,Orders,Sales,Profit,Avg_Order_Value,Avg_Rating
C0857,11,530703.5,140817.74,48245.77272727273,4.0
C0098,4,445144.5,99075.41,111286.125,4.25
C1983,6,415927.5,102623.81999999999,69321.25,4.5
C3209,4,411922.0,95787.8,102980.5,4.5
C0792,6,405708.0,103045.33,67618.0,3.5
C0915,4,397184.5,89086.78,99296.125,4.25
C0494,4,391116.0,101263.81999999999,97779.0,4.5
C1537,5,383032.5,104524.25,76606.5,4.4
C0796,3,382585.5,97264.08,127528.5,4.333333333333333
C1307,7,379530.0,102721.54000000001,54218.57142857143,4.0
C2378,6,379425.0,94210.34,63237.5,4.166666666666667
C1251,10,375469.0,89890.34,37546.9,4.4
C1941,5,374819.5,86501.54999999999,74963.9,4.6
C2157,4,372049.0,92539.37,93012.25,4.25
C0961,6,368791.0,87895.09999999999,61465.166666666664,3.6666666666666665
C1102,4,356949.5,77789.16,89237.375,3.5
C0029,6,355263.0,93620.22,59210.5,4.0
C2563,6,353513.0,81063.95,58918.833333333336,4.166666666666667
C2399,5,352575.5,79120.45000000001,70515.1,4.4
C2864,7,349364.5,97422.93000000001,49909.21428571428,3.7142857142857144
C2409,4,343161.0,87701.53,85790.25,4.5
C1763,3,342027.0,87525.06,114009.0,3.6666666666666665
C1398,7,339893.5,82538.81,48556.21428571428,4.0
C2671,6,337992.0,78488.41,56332.0,4.166666666666667
C2483,6,336960.0,90653.45000000001,56160.0,4.0
C2527,4,330826.0,79423.59,82706.5,4.5
C1218,5,329341.0,79277.5,65868.2,4.4
C1764,3,328832.0,78218.98,109610.66666666667,4.0
C0558,5,321444.5,82847.55,64288.9,4.4
C3378,6,320765.0,80993.68,53460.833333333336,3.6666666666666665
C1999,4,316664.0,71238.17,79166.0,3.75
C2866,4,315341.0,74836.23999999999,78835.25,4.25
C0646,5,315247.5,77412.15,63049.5,3.8
C0570,4,315000.0,69327.27,78750.0,4.0
C2846,4,313476.5,78909.72,78369.125,4.0
C2646,5,308397.0,80292.64,61679.4,4.4
C1907,4,307393.0,71329.81999999999,76848.25,4.0
C3272,8,304925.0,71196.20999999999,38115.625,4.125
C1597,6,304059.0,78360.06,50676.5,4.666666666666667
C1631,6,303791.5,79091.32999999999,50631.916666666664,4.166666666666667
C0166,6,302266.5,69135.55,50377.75,4.666666666666667
C2290,5,300517.0,84065.1,60103.4,4.4
C1039,1,299700.0,84272.78,299700.0,5.0
C1543,5,298943.0,67538.99,59788.6,4.4
C1860,6,296876.0,67965.63,49479.333333333336,3.8333333333333335
C1523,4,296846.5,75697.26999999999,74211.625,4.25
C0302,5,296182.0,67893.96,59236.4,4.0
C1378,7,295779.5,68616.86,42254.21428571428,4.0
C1847,1,291700.0,64105.06,291700.0,5.0
C2207,3,291384.0,81724.12,97128.0,4.0
C1238,3,290090.5,61998.62,96696.83333333333,4.666666666666667
C2562,4,289616.0,70548.68,72404.0,4.5
C0524,4,288538.0,69528.46,72134.5,3.5
C0591,4,285969.0,61840.61,71492.25,4.5
C2881,5,285527.0,68323.81,57105.4,3.8
C0123,5,284194.5,78356.77,56838.9,4.0
C1249,4,284174.0,77606.07,71043.5,4.5
C0770,5,281418.0,80824.84000000001,56283.6,4.0
C3500,5,281060.5,61114.67,56212.1,4.8
C0185,2,280452.0,79978.1,140226.0,3.5
C0220,6,276592.5,64929.28,46098.75,4.166666666666667
C2422,4,274961.0,57514.36,68740.25,4.5
C2503,6,274053.5,72811.48999999999,45675.583333333336,3.8333333333333335
C0362,3,271681.5,71427.18,90560.5,3.6666666666666665
C2246,1,270945.0,55611.12,270945.0,5.0
C1046,3,269290.5,61877.66999999999,89763.5,3.6666666666666665
C0911,3,269252.5,61927.479999999996,89750.83333333333,3.6666666666666665
C1420,2,269224.0,74041.57999999999,134612.0,4.0
C0829,3,268631.0,72214.64,89543.66666666667,4.0
C0186,2,268335.0,70971.75,134167.5,4.5
C0059,5,267956.0,62013.63,53591.2,4.6
C2999,3,266827.0,60974.119999999995,88942.33333333333,3.3333333333333335
C2624,3,266645.5,66853.11,88881.83333333333,3.3333333333333335
C1749,6,266003.0,67197.67,44333.833333333336,4.333333333333333
C1866,5,261862.0,70627.95,52372.4,4.0
C2060,3,260385.0,57464.9,86795.0,4.0
C2492,5,259951.0,65614.97,51990.2,4.6
C0713,4,259637.0,67329.66,64909.25,4.0
C2454,3,259428.5,68325.36,86476.16666666667,4.0
C0003,4,259316.0,59840.5,64829.0,4.25
C2900,8,255143.0,72412.87,31892.875,4.375
C1068,4,255000.0,58634.51000000001,63750.0,4.25
C3211,6,254396.0,62776.48,42399.333333333336,4.166666666666667
C3130,5,253525.0,71791.54999999999,50705.0,3.6
C1354,4,252027.0,58820.15,63006.75,4.25
C0784,3,247758.5,61496.53,82586.16666666667,4.333333333333333
C0110,5,247240.0,62787.590000000004,49448.0,4.6
C1970,3,246528.0,67307.81,82176.0,4.0
C2333,5,246274.5,54524.28999999999,49254.9,4.6
C1834,5,244848.0,66295.7,48969.6,3.6
C1260,4,243686.0,64387.2,60921.5,4.25
C1600,5,243108.0,65367.83,48621.6,4.6
C0536,3,242133.0,53980.99,80711.0,3.3333333333333335
C2726,3,241454.5,54746.19,80484.83333333333,4.666666666666667
C1125,2,240630.0,68088.47,120315.0,4.5
C0101,2,240336.0,66971.33,120168.0,5.0
C3232,3,239950.5,54826.79,79983.5,4.333333333333333
C2165,6,236966.5,56958.96000000001,39494.416666666664,4.5
C0507,4,236739.0,60813.67,59184.75,4.0
C2776,4,236041.0,65479.35,59010.25,4.5
C3123,6,235426.0,57233.33,39237.666666666664,4.5
C3054,7,235025.0,61594.61,33575.0,4.428571428571429
C1427,2,234458.0,50387.31,117229.0,4.0
C0925,5,233605.0,58221.63,46721.0,4.4
C0980,2,233360.0,64266.41,116680.0,4.5
C1859,6,233328.5,65327.59,38888.083333333336,3.5
C2766,7,233198.0,65125.95,33314.0,4.285714285714286
C0769,8,232886.5,55278.8,29110.8125,4.0
C2837,5,231949.0,58982.38,46389.8,4.6
C3329,5,230799.0,53312.06999999999,46159.8,5.0
C3417,2,230661.0,58645.52,115330.5,5.0
C2149,2,230463.0,52677.81,115231.5,4.0
C0212,4,229846.5,67120.05,57461.625,4.5
C1656,8,228864.0,51901.72,28608.0,4.5
C0154,7,226129.0,58216.619999999995,32304.14285714286,3.4285714285714284
C2732,7,226027.5,57680.34,32289.64285714286,4.428571428571429
C3307,7,224874.5,63364.19,32124.928571428572,4.428571428571429
C3424,4,224716.0,55338.659999999996,56179.0,5.0
C1991,7,223418.5,57992.67999999999,31916.928571428572,4.428571428571429
C3029,4,223147.0,52696.67,55786.75,5.0
C0825,6,222700.0,61214.270000000004,37116.666666666664,3.5
C1277,6,222696.0,52306.82000000001,37116.0,4.666666666666667
C1641,5,222568.5,48159.81,44513.7,3.6
C1434,4,222189.5,57595.86,55547.375,4.25
C1894,5,221531.0,59176.65,44306.2,4.2
C2794,10,221011.5,61396.200000000004,22101.15,4.1
C2223,3,220998.0,61561.76,73666.0,3.0
C0056,4,220842.0,50380.69,55210.5,4.5
C0314,10,220653.0,56099.29,22065.3,4.1
C0052,5,220562.0,66987.42,44112.4,4.4
C3288,4,220478.5,57420.34,55119.625,4.0
C1486,2,220466.5,59987.700000000004,110233.25,4.0
C1521,3,219414.0,54978.119999999995,73138.0,3.3333333333333335
C1725,6,219227.0,54242.829999999994,36537.833333333336,3.6666666666666665
C1169,3,218826.0,51573.04,72942.0,4.666666666666667
C1956,4,216076.0,61957.29,54019.0,4.0
C2306,6,215262.5,50064.73,35877.083333333336,3.6666666666666665
C2408,5,213038.0,52126.350000000006,42607.6,4.4
C1553,4,212320.0,45322.12,53080.0,4.0
C2942,6,211395.5,52583.159999999996,35232.583333333336,4.333333333333333
C0334,5,210639.5,58693.05,42127.9,4.2
C1769,5,210274.0,56784.81,42054.8,4.0
C2474,7,210268.5,53022.030000000006,30038.35714285714,4.571428571428571
C1737,5,209384.5,49677.43,41876.9,4.4
C2317,2,209157.5,50258.11,104578.75,4.5
C0744,6,208470.0,52915.08,34745.0,4.666666666666667
C2361,5,208252.5,53349.79000000001,41650.5,3.8
C2004,2,208012.0,57147.21,104006.0,4.5
C2640,4,207896.0,56046.45,51974.0,4.25
C0231,6,207134.5,61410.810000000005,34522.416666666664,4.5
C0795,4,206918.0,54988.450000000004,51729.5,3.25
C2928,2,206600.0,48434.299999999996,103300.0,3.5
C1807,4,206353.0,43180.270000000004,51588.25,4.5
C3033,3,206342.0,53811.23,68780.66666666667,3.6666666666666665
C3480,2,205826.0,51691.25,102913.0,4.0
C1148,6,205185.0,54725.54,34197.5,4.0
C1252,4,205174.0,55040.98,51293.5,4.5
C3395,4,203512.5,52118.950000000004,50878.125,4.25
C2147,3,203135.0,48804.82,67711.66666666667,3.3333333333333335
C2513,5,202785.0,45612.38,40557.0,4.2
C2209,4,201733.5,48355.41,50433.375,3.75
C0451,5,201528.0,52820.42,40305.6,4.8
C3297,5,201460.5,51196.939999999995,40292.1,4.6
C2254,2,201143.5,48861.29,100571.75,3.5
C0758,3,201070.0,45346.600000000006,67023.33333333333,4.333333333333333
C0189,5,200937.0,48860.45,40187.4,4.2
C1139,4,200819.0,49677.46,50204.75,3.75
C1728,4,200707.5,53142.549999999996,50176.875,4.25
C0275,6,200236.0,52804.9,33372.666666666664,4.333333333333333
C0500,5,200036.5,47093.75,40007.3,4.0
C1429,2,199986.0,54408.47,99993.0,4.0
C2765,4,199105.0,44729.0,49776.25,4.25
C1567,5,198743.0,51376.16,39748.6,4.0
C0392,6,197969.0,53852.41,32994.833333333336,4.166666666666667
C0456,5,197897.0,50632.92,39579.4,4.2
C1054,5,197072.5,56684.670000000006,39414.5,4.6
C1323,5,196995.0,51512.1,39399.0,3.8
C0994,1,196928.0,40398.94,196928.0,3.0
C0224,5,196624.0,50720.03,39324.8,4.2
C1042,4,196551.0,55695.740000000005,49137.75,3.75
C2679,9,196330.0,57737.979999999996,21814.444444444445,4.222222222222222
C2114,2,195620.0,54484.1,97810.0,4.5
C2202,8,195519.0,54413.21,24439.875,3.75
C0576,6,195257.5,53808.38,32542.916666666668,4.5
C0513,3,194847.5,48156.869999999995,64949.166666666664,4.666666666666667
C2721,7,194382.0,50901.04,27768.85714285714,4.142857142857143
C1782,9,193826.0,50924.72,21536.222222222223,4.222222222222222
C2775,8,193659.0,56049.200000000004,24207.375,4.0
C1825,6,193535.0,55887.32,32255.833333333332,3.5
C1611,4,193373.5,55947.74,48343.375,4.25
C1416,6,191975.0,54496.75,31995.833333333332,4.166666666666667
C2287,3,191610.0,43655.25,63870.0,4.333333333333333
C1061,4,190934.0,49926.62,47733.5,4.75
C1964,3,190155.0,45801.36,63385.0,4.333333333333333
C3164,4,190116.0,48138.03999999999,47529.0,4.5
C2168,5,187861.5,46310.31,37572.3,4.2
C1250,4,187730.0,45916.240000000005,46932.5,4.25
C0195,3,187403.0,49276.81,62467.666666666664,4.0
C0560,5,187141.0,43076.86,37428.2,4.4
C1664,3,186340.0,45966.44,62113.333333333336,3.3333333333333335
C1639,5,186031.0,48702.560000000005,37206.2,4.0
C2455,3,185557.5,40778.68,61852.5,4.333333333333333
C2668,6,185437.0,52147.060000000005,30906.166666666668,4.5
C0264,5,185192.0,43923.99,37038.4,3.8
C2682,3,185040.0,44436.11,61680.0,4.333333333333333
C2451,6,185016.5,45682.11,30836.083333333332,3.5
C1893,4,184745.5,45954.06,46186.375,4.5
C2614,4,184434.0,48913.82000000001,46108.5,3.75
C0897,4,184205.0,41826.51,46051.25,4.0
C2582,3,182274.0,50290.26,60758.0,3.6666666666666665
C3427,4,181692.0,39239.89,45423.0,3.5
C2171,6,181413.0,44892.93,30235.5,4.166666666666667
C2051,5,180934.0,40543.5,36186.8,4.0
C1557,3,180883.0,48046.02,60294.333333333336,4.333333333333333
C3169,6,179991.0,47741.26,29998.5,4.166666666666667
C3186,8,179314.5,51881.45,22414.3125,3.625
C3282,5,179268.5,48757.18,35853.7,4.4
C2405,4,179241.0,50352.9,44810.25,4.0
C0775,4,179236.5,48958.33,44809.125,4.5
C0991,7,179204.5,50327.75,25600.64285714286,3.7142857142857144
C0441,3,178460.0,54169.880000000005,59486.666666666664,4.666666666666667
C0664,6,176799.5,47454.89,29466.583333333332,4.5
C2026,3,176436.0,43110.11,58812.0,4.333333333333333
C1430,3,176390.0,45380.78,58796.666666666664,4.0
C1465,7,176387.5,47906.07,25198.214285714286,4.0
C3032,4,176256.5,42745.43,44064.125,4.75
C1296,4,176190.0,43733.56,44047.5,4.5
C1492,6,175785.5,45797.78,29297.583333333332,4.5
C3458,3,175540.5,46946.71,58513.5,4.0
C3352,3,175427.0,39140.3,58475.666666666664,4.333333333333333
C0899,8,174945.0,42613.450000000004,21868.125,4.25
C0400,5,174789.0,47365.490000000005,34957.8,4.0
C0306,4,174744.0,43352.01,43686.0,4.25
C1224,3,174540.0,37124.009999999995,58180.0,4.333333333333333
C0727,4,174211.0,46142.21,43552.75,4.25
C2968,2,173837.0,42991.39,86918.5,5.0
C3456,4,173484.0,38707.71,43371.0,4.25
C0125,1,171883.5,39942.2,171883.5,4.0
C1799,5,171851.0,46652.93,34370.2,4.4
C2506,3,171846.0,38780.43,57282.0,4.0
C2792,4,171726.0,43426.69,42931.5,4.25
C1540,1,171270.0,37874.56,171270.0,4.0
C1311,4,171120.0,45586.61,42780.0,4.75
C0206,5,171112.0,46691.810000000005,34222.4,4.0
C2570,3,170859.0,46082.450000000004,56953.0,4.333333333333333
C0223,3,170760.0,39716.68,56920.0,4.666666666666667
